generation,best_fitness,min_fitness,max_fitness,mean_fitness,std_fitness,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5
1,20.1589,20.1589,766.58,233.179,116.113,-812.835,205.545,415.512,73.7245,987.544,1000
2,13.3212,13.3212,576.901,227.485,70.1073,-806.506,167.015,445.046,72.8044,841.168,1593.88
3,13.3212,35.0535,694.364,222.915,68.7478,-806.506,167.015,445.046,72.8044,841.168,1593.88
4,13.3212,15.3797,685.09,205.361,81.5745,-806.506,167.015,445.046,72.8044,841.168,1593.88
5,9.39975,9.39975,623.192,209.186,114.525,-772.691,184.686,396.812,61.4633,877.729,3892.69
6,8.79276,8.79276,665.289,228.472,145.704,-796.777,188.187,438.888,51.8836,968.68,4377.16
7,8.79276,11.1368,699.406,237.335,146.685,-796.777,188.187,438.888,51.8836,968.68,4377.16
8,8.75456,8.75456,702.442,226.257,126.695,-809.744,177.857,440.56,68.7063,1049.53,2930.21
9,7.82388,7.82388,594.358,191.152,100.51,-806.132,172.348,445.763,55.7027,876.781,3370
10,7.82388,10.8776,560.258,173.047,94.1655,-806.132,172.348,445.763,55.7027,876.781,3370
11,7.26539,7.26539,550.225,157.327,92.5293,-787.316,167.161,422.203,62.8393,687.102,3417.39
12,7.26539,7.89786,588.985,144.87,96.5219,-787.316,167.161,422.203,62.8393,687.102,3417.39
13,7.26539,8.21043,587.133,149.889,105.649,-787.316,167.161,422.203,62.8393,687.102,3417.39
14,6.94805,6.94805,578.854,130.517,101.261,-792.041,167.148,428.69,61.2956,756.907,3916.5
15,6.61827,6.61827,545.323,136.375,97.6328,-771.687,154.843,424.993,60.1028,840.53,4000.97
16,6.61827,6.70327,652.225,138.962,123.7,-771.687,154.843,424.993,60.1028,840.53,4000.97
17,6.61827,6.61955,575.475,131.16,104.975,-771.687,154.843,424.993,60.1028,840.53,4000.97
18,6.61827,6.65748,637.673,126.292,106.289,-771.687,154.843,424.993,60.1028,840.53,4000.97
19,6.41012,6.41012,587.178,121.442,101.023,-769.819,154.231,434.953,51.0285,836.824,3972.76
20,6.38186,6.38186,612.524,138.514,124.303,-790.57,180.936,433.329,55.1521,1108.76,4650.99
21,6.38186,6.86989,631.721,203.018,160.289,-790.57,180.936,433.329,55.1521,1108.76,4650.99
22,6.32727,6.32727,678.646,184.272,151.07,-788.756,186.452,430.807,47.506,1066.11,4614.74
23,6.32727,6.42519,626.98,139.508,127.168,-788.756,186.452,430.807,47.506,1066.11,4614.74
24,6.32727,6.54027,625.601,137.244,126.558,-788.756,186.452,430.807,47.506,1066.11,4614.74
25,6.13947,6.13947,649.598,135.628,129.882,-781.798,182.405,422.11,51.1702,948.469,4629.76
26,5.95186,5.95186,649.04,120.952,108.91,-782.969,179.621,423.108,52.019,976.708,4310.4
27,5.95186,6.44489,834.09,111.342,113.359,-782.969,179.621,423.108,52.019,976.708,4310.4
28,5.90342,5.90342,494.07,114.675,104.128,-784.275,178.577,424.305,55.0178,1005.53,4270.27
29,5.90342,5.94054,565.527,118.114,117.95,-784.275,178.577,424.305,55.0178,1005.53,4270.27
30,5.8885,5.8885,605.523,109.671,122.756,-776.518,168.358,422.265,58.2135,993.308,4334.3
31,5.8885,6.02074,567.37,96.7087,101.994,-776.518,168.358,422.265,58.2135,993.308,4334.3
32,5.8885,6.07361,624.042,88.6209,99.9178,-776.518,168.358,422.265,58.2135,993.308,4334.3
33,5.67655,5.67655,705.411,101.033,108.231,-786.623,181.086,419.491,57.3297,995.539,4445.42
34,5.67655,5.87147,646.398,101.684,115.537,-786.623,181.086,419.491,57.3297,995.539,4445.42
35,5.64282,5.64282,641.533,101.216,101.172,-789.422,176.943,427.561,56.6639,992.911,4437.86
36,5.55921,5.55921,579.092,81.8786,98.0973,-789.192,174.272,431.156,55.7023,1006.85,4504.58
37,5.55921,5.63652,625.441,89.5795,98.748,-789.192,174.272,431.156,55.7023,1006.85,4504.58
38,5.55921,5.71504,577.521,91.2658,106.1,-789.192,174.272,431.156,55.7023,1006.85,4504.58
39,5.55921,5.90226,590.432,88.5227,102.036,-789.192,174.272,431.156,55.7023,1006.85,4504.58
40,5.55921,5.73818,632.065,84.4574,108.923,-789.192,174.272,431.156,55.7023,1006.85,4504.58
41,5.55921,5.66811,526.251,78.1064,98.6319,-789.192,174.272,431.156,55.7023,1006.85,4504.58
42,5.55921,5.65187,570.373,80.1746,99.0065,-789.192,174.272,431.156,55.7023,1006.85,4504.58
43,5.55921,5.63215,554.344,79.6144,99.9513,-789.192,174.272,431.156,55.7023,1006.85,4504.58
44,5.55921,5.57808,577.097,75.2298,103.858,-789.192,174.272,431.156,55.7023,1006.85,4504.58
45,5.55921,5.69186,605.622,71.2804,100.647,-789.192,174.272,431.156,55.7023,1006.85,4504.58
46,5.55921,5.59631,559.518,75.7073,105.893,-789.192,174.272,431.156,55.7023,1006.85,4504.58
47,5.55921,5.62915,523.95,66.6918,92.1544,-789.192,174.272,431.156,55.7023,1006.85,4504.58
48,5.55921,5.68164,633.658,70.27,105.265,-789.192,174.272,431.156,55.7023,1006.85,4504.58
49,5.52345,5.52345,547.099,64.5715,96.7773,-783.432,174.438,426.018,55.0482,1002.56,4422.17
50,5.52345,5.65899,567.728,68.5388,104.017,-783.432,174.438,426.018,55.0482,1002.56,4422.17
51,5.52345,5.55238,490.125,64.5531,99.1758,-783.432,174.438,426.018,55.0482,1002.56,4422.17
52,5.52345,5.52369,550.185,58.522,79.7994,-783.432,174.438,426.018,55.0482,1002.56,4422.17
53,5.52345,5.56789,554.328,60.6037,91.6499,-783.432,174.438,426.018,55.0482,1002.56,4422.17
54,5.52345,5.55814,501.481,60.4358,93.0326,-783.432,174.438,426.018,55.0482,1002.56,4422.17
55,5.49919,5.49919,494.834,55.4626,91.7085,-777.328,171.666,426.724,52.0486,1006.44,4583.79
56,5.49919,5.60481,491.124,54.4709,81.9986,-777.328,171.666,426.724,52.0486,1006.44,4583.79
57,5.49919,5.52121,681.608,53.8167,88.0975,-777.328,171.666,426.724,52.0486,1006.44,4583.79
58,5.43816,5.43816,597.699,56.4172,90.6627,-777.179,173.477,425.824,52.0547,1050.5,4535.99
59,5.43816,5.51868,653.658,61.0221,100.972,-777.179,173.477,425.824,52.0547,1050.5,4535.99
60,5.43061,5.43061,546.15,58.1413,93.2429,-777.994,174.901,424.431,52.5355,1041.1,4630.9
61,5.43061,5.60396,638.388,54.351,84.3222,-777.994,174.901,424.431,52.5355,1041.1,4630.9
62,5.43061,5.45997,595.961,53.421,86.2982,-777.994,174.901,424.431,52.5355,1041.1,4630.9
63,5.43061,5.52594,622.819,57.3703,93.5595,-777.994,174.901,424.431,52.5355,1041.1,4630.9
64,5.43061,5.56326,551.656,54.4021,90.5237,-777.994,174.901,424.431,52.5355,1041.1,4630.9
65,5.41163,5.41163,517.571,56.2933,90.1025,-778.999,177.705,424.229,51.2686,1046.71,4636.13
